Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Ardant du Picq;5001;U55;1930;1938;1990;1990;2;4;1;2;0;5;0;L24000;1930;1960;1999;x
Arlabosse;5002;U55;1930;1939;1990;1990;3;3;0;2;0;4;0;L24001;1930;1960;1999;x
Armand;5003;U55;1943;1990;1990;1990;3;4;1;1;0;4;0;L24002;1943;1960;1999;x
Armingeat;5004;U55;1937;1939;1990;1990;2;3;0;2;0;3;0;L24003;1937;1960;1999;x
Arnaud;5005;U55;1939;1990;1990;1990;3;3;2;1;0;4;0;L24004;1939;1944;1999;x
Audet;5006;U55;1930;1938;1943;1990;3;3;2;3;0;4;0;L24005;1930;1960;1999;x
Aymé;5007;U55;1930;1943;1946;1990;3;4;0;3;0;3;0;L24006;1930;1960;1999;x
Barreau;5008;U55;1930;1990;1990;1990;3;4;64;1;0;4;0;L24007;1930;1960;1999;x
Bastien;5009;U55;1943;1990;1990;1990;3;4;256;1;0;3;0;L24008;1943;1960;1999;x
Beaumont;5010;U55;1938;1990;1990;1990;3;3;32;1;0;4;0;L24009;1938;1960;1999;x
Bertin-Boussus;5011;U55;1937;1940;1990;1990;3;3;1;2;0;4;0;L24010;1937;1960;1999;x
Bethouart;5012;U55;1940;1942;1943;1990;1;6;260;3;0;5;0;L24011;1940;1960;1999;x
Billotte;5013;U55;1943;1946;1990;1990;3;6;0;2;0;5;0;L24012;1943;1960;1999;x
Bingen;5014;U55;1942;1990;1990;1990;3;5;64;1;0;5;0;L24013;1942;1944;1999;x
Blanc;5015;U55;1930;1930;1938;1990;1;3;0;2;0;4;0;L24014;1930;1960;1999;x
Blanchard;5016;U55;1930;1930;1990;1990;2;4;2;1;0;4;0;L24015;1930;1960;1999;x
Blanchet;5017;U55;1943;1946;1990;1990;3;4;4;2;0;4;0;L24016;1943;1960;1999;x
Blaizot;5018;U55;1940;1943;1944;1990;2;5;0;3;0;5;0;L24017;1940;1960;1999;x
Bondis;5019;U55;1944;1945;1990;1990;3;6;256;2;0;5;0;L24018;1944;1960;1999;x
Bourges-Maunory;5020;U55;1944;1947;1990;1990;3;3;32;2;0;3;0;L24019;1944;1947;1999;x
Bridoux;5021;U55;1930;1939;1990;1990;2;3;0;1;0;2;0;L24020;1930;1960;1999;x
Brisac;5022;U55;1944;1945;1990;1990;3;5;0;2;0;5;0;L24021;1944;1960;1999;x
